cycle_key,mode,run_id,success,steps_to_fix,steps_taken,submit_path
team35_prob10,baseline,1,1,2,2,321|323
team35_prob10,baseline,2,1,2,2,321|323
team35_prob10,baseline,3,1,2,2,321|323
team35_prob10,baseline,4,1,2,2,321|323
team35_prob10,baseline,5,1,2,2,321|323
team35_prob10,baseline,6,1,2,2,321|323
team35_prob10,baseline,7,1,2,2,321|323
team35_prob10,baseline,8,1,2,2,321|323
team35_prob10,baseline,9,1,2,2,321|323
team35_prob10,baseline,10,1,2,2,321|323
team35_prob10,baseline,11,1,2,2,321|323
team35_prob10,baseline,12,1,2,2,321|323
team35_prob10,baseline,13,1,2,2,321|323
team35_prob10,baseline,14,1,2,2,321|323
team35_prob10,baseline,15,1,2,2,321|323
team35_prob10,baseline,16,1,2,2,321|323
team35_prob10,baseline,17,1,2,2,321|323
team35_prob10,baseline,18,1,2,2,321|323
team35_prob10,baseline,19,1,2,2,321|323
team35_prob10,baseline,20,1,2,2,321|323
team35_prob10,baseline,21,1,2,2,321|323
team35_prob10,baseline,22,1,2,2,321|323
team35_prob10,baseline,23,1,2,2,321|323
team35_prob10,baseline,24,1,2,2,321|323
team35_prob10,baseline,25,1,2,2,321|323
team35_prob10,baseline,26,1,2,2,321|323
team35_prob10,baseline,27,1,2,2,321|323
team35_prob10,baseline,28,1,2,2,321|323
team35_prob10,baseline,29,1,2,2,321|323
team35_prob10,baseline,30,1,2,2,321|323
team35_prob10,baseline,31,1,2,2,321|323
team35_prob10,baseline,32,1,2,2,321|323
team35_prob10,baseline,33,1,2,2,321|323
team35_prob10,baseline,34,1,2,2,321|323
team35_prob10,baseline,35,1,2,2,321|323
team35_prob10,baseline,36,1,2,2,321|323
team35_prob10,baseline,37,1,2,2,321|323
team35_prob10,baseline,38,1,2,2,321|323
team35_prob10,baseline,39,1,2,2,321|323
team35_prob10,baseline,40,1,2,2,321|323
team35_prob10,baseline,41,1,2,2,321|323
team35_prob10,baseline,42,1,2,2,321|323
team35_prob10,baseline,43,1,2,2,321|323
team35_prob10,baseline,44,1,2,2,321|323
team35_prob10,baseline,45,1,2,2,321|323
team35_prob10,baseline,46,1,2,2,321|323
team35_prob10,baseline,47,1,2,2,321|323
team35_prob10,baseline,48,1,2,2,321|323
team35_prob10,baseline,49,1,2,2,321|323
team35_prob10,baseline,50,1,2,2,321|323
team35_prob10,baseline,51,1,2,2,321|323
team35_prob10,baseline,52,1,2,2,321|323
team35_prob10,baseline,53,1,2,2,321|323
team35_prob10,baseline,54,1,2,2,321|323
team35_prob10,baseline,55,1,2,2,321|323
team35_prob10,baseline,56,1,2,2,321|323
team35_prob10,baseline,57,1,2,2,321|323
team35_prob10,baseline,58,1,2,2,321|323
team35_prob10,baseline,59,1,2,2,321|323
team35_prob10,baseline,60,1,2,2,321|323
team35_prob10,baseline,61,1,2,2,321|323
team35_prob10,baseline,62,1,2,2,321|323
team35_prob10,baseline,63,1,2,2,321|323
team35_prob10,baseline,64,1,2,2,321|323
team35_prob10,baseline,65,1,2,2,321|323
team35_prob10,baseline,66,1,2,2,321|323
team35_prob10,baseline,67,1,2,2,321|323
team35_prob10,baseline,68,1,2,2,321|323
team35_prob10,baseline,69,1,2,2,321|323
team35_prob10,baseline,70,1,2,2,321|323
team35_prob10,baseline,71,1,2,2,321|323
team35_prob10,baseline,72,1,2,2,321|323
team35_prob10,baseline,73,1,2,2,321|323
team35_prob10,baseline,74,1,2,2,321|323
team35_prob10,baseline,75,1,2,2,321|323
team35_prob10,baseline,76,1,2,2,321|323
team35_prob10,baseline,77,1,2,2,321|323
team35_prob10,baseline,78,1,2,2,321|323
team35_prob10,baseline,79,1,2,2,321|323
team35_prob10,baseline,80,1,2,2,321|323
team35_prob10,baseline,81,1,2,2,321|323
team35_prob10,baseline,82,1,2,2,321|323
team35_prob10,baseline,83,1,2,2,321|323
team35_prob10,baseline,84,1,2,2,321|323
team35_prob10,baseline,85,1,2,2,321|323
team35_prob10,baseline,86,1,2,2,321|323
team35_prob10,baseline,87,1,2,2,321|323
team35_prob10,baseline,88,1,2,2,321|323
team35_prob10,baseline,89,1,2,2,321|323
team35_prob10,baseline,90,1,2,2,321|323
team35_prob10,baseline,91,1,2,2,321|323
team35_prob10,baseline,92,1,2,2,321|323
team35_prob10,baseline,93,1,2,2,321|323
team35_prob10,baseline,94,1,2,2,321|323
team35_prob10,baseline,95,1,2,2,321|323
team35_prob10,baseline,96,1,2,2,321|323
team35_prob10,baseline,97,1,2,2,321|323
team35_prob10,baseline,98,1,2,2,321|323
team35_prob10,baseline,99,1,2,2,321|323
team35_prob10,baseline,100,1,2,2,321|323
team35_prob10,baseline,101,1,2,2,321|323
team35_prob10,baseline,102,1,2,2,321|323
team35_prob10,baseline,103,1,2,2,321|323
team35_prob10,baseline,104,1,2,2,321|323
team35_prob10,baseline,105,1,2,2,321|323
team35_prob10,baseline,106,1,2,2,321|323
team35_prob10,baseline,107,1,2,2,321|323
team35_prob10,baseline,108,1,2,2,321|323
team35_prob10,baseline,109,1,2,2,321|323
team35_prob10,baseline,110,1,2,2,321|323
team35_prob10,baseline,111,1,2,2,321|323
team35_prob10,baseline,112,1,2,2,321|323
team35_prob10,baseline,113,1,2,2,321|323
team35_prob10,baseline,114,1,2,2,321|323
team35_prob10,baseline,115,1,2,2,321|323
team35_prob10,baseline,116,1,2,2,321|323
team35_prob10,baseline,117,1,2,2,321|323
team35_prob10,baseline,118,1,2,2,321|323
team35_prob10,baseline,119,1,2,2,321|323
team35_prob10,baseline,120,1,2,2,321|323
team35_prob10,baseline,121,1,2,2,321|323
team35_prob10,baseline,122,1,2,2,321|323
team35_prob10,baseline,123,1,2,2,321|323
team35_prob10,baseline,124,1,2,2,321|323
team35_prob10,baseline,125,1,2,2,321|323
team35_prob10,baseline,126,1,2,2,321|323
team35_prob10,baseline,127,1,2,2,321|323
team35_prob10,baseline,128,1,2,2,321|323
team35_prob10,baseline,129,1,2,2,321|323
team35_prob10,baseline,130,1,2,2,321|323
team35_prob10,baseline,131,1,2,2,321|323
team35_prob10,baseline,132,1,2,2,321|323
team35_prob10,baseline,133,1,2,2,321|323
team35_prob10,baseline,134,1,2,2,321|323
team35_prob10,baseline,135,1,2,2,321|323
team35_prob10,baseline,136,1,2,2,321|323
team35_prob10,baseline,137,1,2,2,321|323
team35_prob10,baseline,138,1,2,2,321|323
team35_prob10,baseline,139,1,2,2,321|323
team35_prob10,baseline,140,1,2,2,321|323
team35_prob10,baseline,141,1,2,2,321|323
team35_prob10,baseline,142,1,2,2,321|323
team35_prob10,baseline,143,1,2,2,321|323
team35_prob10,baseline,144,1,2,2,321|323
team35_prob10,baseline,145,1,2,2,321|323
team35_prob10,baseline,146,1,2,2,321|323
team35_prob10,baseline,147,1,2,2,321|323
team35_prob10,baseline,148,1,2,2,321|323
team35_prob10,baseline,149,1,2,2,321|323
team35_prob10,baseline,150,1,2,2,321|323
team35_prob10,baseline,151,1,2,2,321|323
team35_prob10,baseline,152,1,2,2,321|323
team35_prob10,baseline,153,1,2,2,321|323
team35_prob10,baseline,154,1,2,2,321|323
team35_prob10,baseline,155,1,2,2,321|323
team35_prob10,baseline,156,1,2,2,321|323
team35_prob10,baseline,157,1,2,2,321|323
team35_prob10,baseline,158,1,2,2,321|323
team35_prob10,baseline,159,1,2,2,321|323
team35_prob10,baseline,160,1,2,2,321|323
team35_prob10,baseline,161,1,2,2,321|323
